id;cap;sigla_provincia
0;10011;TO
1;10060;TO
2;10070;TO
3;10010;TO
4;10040;TO
5;10080;TO
6;10091;TO
7;10020;TO
8;10010;TO
9;10060;TO
10;10020;TO
11;10051;TO
12;10010;TO
13;10010;TO
14;10070;TO
15;10080;TO
16;10020;TO
17;10070;TO
18;10010;TO
19;10070;TO
20;10052;TO
21;10010;TO
22;10092;TO
23;10060;TO
24;10060;TO
25;10012;TO
26;10071;TO
27;10080;TO
28;10013;TO
29;10031;TO
30;10050;TO
31;10080;TO
32;10032;TO
33;10060;TO
34;10080;TO
35;10020;TO
36;10090;TO
37;10020;TO
38;10050;TO
39;10060;TO
40;10010;TO
41;10080;TO
42;10053;TO
43;10090;TO
44;10070;TO
45;10014;TO
46;10020;TO
47;10060;TO
48;10010;TO
49;10060;TO
50;10080;TO
51;10060;TO
52;10070;TO
53;10040;TO
54;10010;TO
55;10010;TO
56;10041;TO
57;10022;TO
58;10020;TO
59;10010;TO
60;10040;TO
61;10072;TO
62;10090;TO
63;10060;TO
64;10081;TO
65;10080;TO
66;10090;TO
67;10020;TO
68;10061;TO
69;10060;TO
70;10070;TO
71;10080;TO
72;10054;TO
73;10070;TO
74;10050;TO
75;10010;TO
76;10023;TO
77;10080;TO
78;10050;TO
79;10050;TO
80;10034;TO
81;10080;TO
82;10080;TO
83;10090;TO
84;10073;TO
85;10050;TO
86;10070;TO
87;10050;TO
88;10093;TO
89;10080;TO
90;10010;TO
91;10055;TO
92;10070;TO
93;10010;TO
94;10090;TO
95;10040;TO
96;10082;TO
97;10040;TO
98;10050;TO
99;10083;TO
100;10080;TO
101;10060;TO
102;10070;TO
103;10010;TO
104;10090;TO
105;10084;TO
106;10080;TO
107;10070;TO
108;10060;TO
109;10060;TO
110;10090;TO
111;10070;TO
112;10050;TO
113;10094;TO
114;10040;TO
115;10050;TO
116;10070;TO
117;10070;TO
118;10095;TO
119;10080;TO
120;10060;TO
121;10046;TO
122;10080;TO
123;10015;TO
124;10040;TO
125;10040;TO
126;10074;TO
127;10020;TO
128;10040;TO
129;10070;TO
130;10010;TO
131;10070;TO
132;10080;TO
133;10040;TO
134;10040;TO
135;10010;TO
136;10062;TO
137;10060;TO
138;10080;TO
139;10060;TO
140;10030;TO
141;10020;TO
142;10060;TO
143;10075;TO
144;10050;TO
145;10035;TO
146;10050;TO
147;10010;TO
148;10070;TO
149;10020;TO
150;10059;TO
151;10070;TO
152;10024;TO
153;10050;TO
154;10020;TO
155;10090;TO
156;10016;TO
157;10017;TO
158;10020;TO
159;10020;TO
160;10042;TO
161;10080;TO
162;10076;TO
163;10010;TO
164;10060;TO
165;10050;TO
166;10080;TO
167;10043;TO
168;10010;TO
169;10060;TO
170;10040;TO
